,question,answer
1,"Well, I thought we'd start with pronunciation, if that's okay with you.",Not the hacking and gagging and spitting part.  Please.
2,Not the hacking and gagging and spitting part.  Please.,Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?
3,You're asking me out.  That's so cute. What's your name again?,Forget it.
4,"No, no, it's my fault -- we didn't have a proper introduction ---",Cameron.
9,"Gosh, if only we could find Kat a boyfriend...",Let me see what I can do.
10,C'esc ma tete. This is my head,Right.  See?  You're ready for the quiz.
13,That's because it's such a nice one.,Forget French.
14,How is our little Find the Wench A Date plan progressing?,"Well, there's someone I think might be --"
17,You have my word.  As a gentleman,You're sweet.
19,Sure have.,"I really, really, really wanna go, but I can't.  Not unless my sister goes."
20,"I really, really, really wanna go, but I can't.  Not unless my sister goes.",I'm workin' on it. But she doesn't seem to be goin' for him.
23,So that's the kind of guy she likes? Pretty ones?,Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.
25,You know Chastity?,I believe we share an art instructor
29,"Well, no...",Then that's all you had to say.
33,do you listen to this crap?,What crap?
34,What crap?,"Me.  This endless ...blonde babble. I'm like, boring myself."
35,"Me.  This endless ...blonde babble. I'm like, boring myself.",Thank God!  If I had to hear one more story about your coiffure...
36,I figured you'd get to the good stuff eventually.,What good stuff?
37,What good stuff?,The "real you".
38,The "real you".,Like my fear of wearing pastels?
42,She okay?,I hope so.
43,They do to!,They do not!
50,Is he oily or dry?,Combination.  I don't know -- I thought he'd be different.  More of a gentleman...
53,I have to be home in twenty minutes.,I don't have to be home 'til two.
55,It's more,Expensive?
56,"Exactly  So, you going to Bogey Lowenbrau's thing on Saturday?",Hopefully.
58,Queen Harry?,"It's a gay cruise line, but I'll be, like, wearing a uniform and stuff."
60,"Hey, sweet cheeks.","Hi, Joey."
61,"Hi, Joey.",You're concentrating awfully hard considering it's gym class.
62,"Listen, I want to talk to you about the prom.",You know the deal.  I can ' t go if Kat doesn't go --
63,Where've you been?,"Nowhere... Hi, Daddy."
64,I have the potential to smack the crap out of you if you don't get out of my way.,Can you at least start wearing a bra?
65,"Oh my God, does this mean you're becoming normal?",It means that Gigglepuss is playing at Club Skunk and we're going.
68,What do you think?,I think you're a freak.  I think you do this to torture me.  And I think you suck.
69,"You're ruining my life'  Because you won't be normal, I can't be normal.",What's normal?
